sku,docId,lastSource,status,before_len,after_len,before,after,reason
SKU-7234186083,SKU-7234186083,unknown,update,67,70,ASICS Herren Sneaker EX89: Ikonischer Retro-Stil & Höchster Komfort,ASICS ASICS EX89 Unisex Erwachsene Sneaker Cremeweiß/Weiß Gr. 41.5 NEU,
SKU-7245071607,SKU-7245071607,unknown,update,68,71,DIGITAL REVOLUTION Tintenpatrone LC422 Gelb für 550 brillante Seiten,DIGITAL REVOLUTION Kompatibel LC422 DZ108154 Gelb NEU Tintenpatrone 550,
SKU-7270723982,SKU-7270723982,unknown,update,67,76,Kitchen Sink Einbauspüle: Robuste Edelstahl-Spüle mit Abtropfgitter,Kitchen Sink Einbauspüle SKU-7270723982 Silber Edelstahl NEU Robuste Sammeln,
SKU-7350795017,SKU-7350795017,unknown,update,65,73,Primewire Antennenkabel 15m gewinkelt für optimale Signalqualität,"Primewire Antennenkabel 302867 Schwarz NEU Vergoldete Kontakte, Gewinkelt",
SKU-7473377331,SKU-7473377331,unknown,update,65,73,CORSAIR PC-Netzteil RM1000x 1000W ATX 3.1 PCIe 5.1 Zukunftssicher,CORSAIR PC-Netzteil RM1000x Schwarz NEU Gr. 150 mm 1000W ATX 3.1 PCIe 5.1,
SKU-7627745924,SKU-7627745924,unknown,update,69,77,NEOLYMP Yogamatte Rutschfest & Biologisch Abbaubar für Yoga & Pilates,"NEOLYMP Yogamatten Lime (Neongrün) Biologisch abbaubar, PVC-, Latex-, Gummi-,",
SKU-7680238839,SKU-7680238839,unknown,update,64,76,Polo Ralph Lauren Kinder Sneaker: Zeitloser Stil & hoher Komfort,Polo Ralph Lauren Theron V Unisex Kinder Sneaker Weiß NEU RF104105 Synthetik,
SKU-7800997883,SKU-7800997883,unknown,update,61,75,Tamaris Slingpumps Damen – Zeitloser Komfort für jeden Anlass,Tamaris Slingpumps Damen – Zeitloser Komfort für jeden Anlass Damen Sneaker,
SKU-7926913408,SKU-7926913408,unknown,update,69,70,"TOPTREK Fahrradabdeckung: Ganzjahresschutz, wasserdicht für 1 Fahrrad",TOPTREK Fahrradzubehör 846236311 NEU Fahrradabdeckung Ganzjahresschutz,
SKU-7998641824,SKU-7998641824,unknown,update,60,71,Rohema Drumsticks Premium Holz für Präzision & Langlebigkeit,Rohema Drumsticks Premium Holz NEU Präzision Langlebigkeit Antiquitäten,
SKU-8064565799,SKU-8064565799,unknown,update,63,71,UGG Tazz Damen Hausschuhe: Luxuriöser Komfort & stilvolle Wärme,UGG Tazz Damen Sneaker Sand NEU Hausschuhe Wildleder Luxuriöser Komfort,
SKU-8112287411,SKU-8112287411,unknown,update,66,71,"Desigual Damen Sweatshirt AZRIEL: Stilvoll, bequem, 100% Baumwolle",Desigual Sweatshirt Damen Rosa Gr. XXL 100% Baumwolle NEU 23WMSK05/3022,
SKU-8197874459,SKU-8197874459,unknown,update,63,75,"New Balance Herren Sneaker 515: Stilvoll, bequem und vielseitig",New Balance 515 Herren Sneaker Schwarz NEU Handschuhe & Fäustlinge ML515AGR,
SKU-8245288059,SKU-8245288059,unknown,update,59,72,LICO Boulder V Kinder Hallenschuhe: Sicherer Halt & Komfort,LICO Boulder V Kinder Sneaker Pink/Türkis Gr. 31 NEU Hallenschuhe 360652,
SKU-8249181407,SKU-8249181407,unknown,update,67,72,Sony WH-CH720N Over-Ear Kopfhörer mit Aktiver Geräuschunterdrückung,Sony DJ-Kopfhörer WH-CH720N WH-CH720N Schwarz NEU Over-Ear Aktiver Video,
SKU-8367978772,SKU-8367978772,unknown,update,69,75,"Pelikan Farbband Gr. 156 C Correctable für präzise, fehlerfreie Texte",Pelikan Büro & Schreibwaren 519637 NEU Farbband Gr. 156 Correctable präzise,
SKU-8380347833,SKU-8380347833,unknown,update,69,71,Casey Stehleuchte Modern: Stilvolles Leselicht & Behagliches Ambiente,"Casey Stehleuchten DEL8LIT03-189 Gold / Champagner Metall (Eisen), Glas",
SKU-8605082485,SKU-8605082485,unknown,update,69,73,Aqua Marina SUP Board Set Breeze Allround für Stabilität & Paddelspaß,Aqua Marina SUP Board Unisex Grün PVC NEU SKU-8605082485 Breeze Gr. 76 cm,
SKU-8640590578,SKU-8640590578,unknown,update,63,72,Villa Grinario Jersey-Spannbettlaken für höchsten Schlafkomfort,Villa Grinario Spannbettlaken SKU-8640590578 Grün Gr. 100 x 200 cm 100 %,
SKU-8742112863,SKU-8742112863,bulk-table,update,56,78,New Balance IZ740WM Kinder-Sneaker Silber NEU OVP Gr. 26,New Balance New Balance Kinder Sneaker Silber Gr. 26 NEU Kinderschuhe & -boots,
SKU-8843412443,SKU-8843412443,unknown,update,69,71,ONVAYA Verkehrsspiegel 70° Weitwinkel für optimale Verkehrssicherheit,ONVAYA Verkehrsspiegel Schwarz Kunststoff NEU Gr. 31.2 cm 70 Weitwinkel,
SKU-8857013241,SKU-8857013241,unknown,update,66,77,Paul Green Schnürschuhe Damen: Zeitlose Eleganz & höchster Komfort,Paul Green Schnürschuhe Damen Schwarz Lackleder NEU 2688-00x Zeitlose Eleganz,
SKU-9031958971,SKU-9031958971,unknown,update,57,78,Ninja Standmixer BN750EU 2-in-1 für Smoothies & Eis-Crush,Ninja Standmixer 2-in-1 BN750EU CB350EU Schwarz/Silber NEU Smoothies Eis-Crush,
SKU-9035689627,SKU-9035689627,unknown,update,64,74,"Jolly Kreidehalter Set – Hygienisch, bruchsicher & saubere Hände",Jolly Schulbedarf 6110 NEU Kreidehalter Set Hygienisch bruchsicher saubere,
SKU-9073986145,SKU-9073986145,unknown,update,63,73,RAVENOL Sägekettenöl S 85: Optimaler Verschleißschutz & Haftung,RAVENOL Sägekettenöl S 85 NEU Optimaler Verschleißschutz Haftung Business,
SKU-9091395294,SKU-9091395294,unknown,update,66,70,LEONARDO Trinkgläser Set Swing – Modernes Design für Wasser & Saft,LEONARDO Trinkglas Swing Transparent Glas NEU Gr. 9 cm Trinkgläser Set,
SKU-9428729031,SKU-9428729031,unknown,update,69,76,"Derby Rasierklingen Premium Professional für sanfte, gründliche Rasur",Derby Rasierklingen Double Edge Silber Schwedischer Stahl NEU Premium sanfte,
SKU-9436640030,SKU-9436640030,unknown,update,61,70,Puma Herren Golfschuhe Fusion Crush Sport - Maximaler Komfort,Puma Fusion Crush Sport Herren Sneaker Weiß/Grau mit Rot NEU Golfschuh,
SKU-9564743151,SKU-9564743151,unknown,update,61,74,Knirps Taschenschirm AS.050 Navy: Extrem windstabil & kompakt,Knirps Taschenschirm AS.050 9590561201W NEU Windstabil Navy Extrem kompakt,
SKU-9627368343,SKU-9627368343,unknown,update,65,78,d-c-fix Energiespar Fensterfolie 90x200cm für optimales Raumklima,d-c-fix Energiesparfolie 333-0000 Kunststoff NEU Energieeffizienz Fensterfolie,
SKU-9671499764,SKU-9671499764,unknown,update,67,76,House Nordic Servierwagen: Eleganter Rollwagen für flexible Nutzung,House Nordic Servierwagen NEU Gr. 68 cm Eleganter Rollwagen flexible Nutzung,
SKU-9787450821,SKU-9787450821,unknown,update,64,77,"bremermann Nudelmaschine Manuell für frische, hausgemachte Pasta","bremermann Manuelle Nudelmaschine 57003 57003 Rot Edelstahlwalzen, lackiertes",
SKU-9820031170,SKU-9820031170,unknown,update,67,71,YOLEO Kinderroller 3-Rad mit LED-Rädern & höhenverstellbarem Lenker,"YOLEO Kinderroller 931 NEU Schwarz LED-Räder, Höhenverstellbarer Lenker",
SKU-9834509499,SKU-9834509499,unknown,update,60,77,"MSV Handtuchhalter 3-stufig Schwarz, bohrfrei & platzsparend",MSV Handtuchhalter Schwarz Metall NEU Gr. 42 cm Ohne Bohren 3-stufig bohrfrei,
SKU-9912977908,SKU-9912977908,unknown,update,66,73,Dexcom G7 Blutzuckermessgerät: Präzise Echtzeit-Glukoseüberwachung,"Dexcom Blutzuckermessgerät G7 STK-GT-013 Schwarz NEU Dexcom, Inc. Präzise",
SKU-9933881904,SKU-9933881904,unknown,update,60,80,SCENEX Damen Tanzschuhe – Elegant & Stabil für Tango & Salsa,SCENEX Damen Tanzschuhe – Elegant & Stabil für Tango & Salsa Sneaker Schwarz NEU,
SKU-1848228084,a7fbf83a-10da-453f-974b-4d71c9e7e626,unknown,update,68,71,Walex Porta-Pak Max Fäkalientank-Deo für 50 geruchsfreie Anwendungen,Walex Fäkalientank-Deodorant Tiefblau NEU Porta-Pak Max 50 geruchsfreie,
SKU-8203474346,b9682eb9-a9aa-415e-898f-7b9bf915e42f,unknown,update,66,77,Sabeatex Nackenstützkissen – Optimale Stütze für erholsamen Schlaf,Sabeatex Kopfkissen & Körperkissen Weiß Gr. 70 x 35 x 13 cm NEU used Optimale,
SKU-0716100821,c02f6527-8651-429c-8022-31eb90f6aaaa,unknown,update,68,79,SOMAN Integralhelm A154956/202401/03705 Gr. S (55-56cm) Pink/Schwarz,"SOMAN Integralhelm A154956/202401/03705 NEU Pink, Schwarz, Lila Gr. S Gebraucht",
SKU-3178068699,d26c1381-e411-4bd2-a9fd-fdd8e408a28a,unknown,update,66,78,Hoover Wasserzulaufschlauch Original für zuverlässige Wasserzufuhr,Hoover Zulaufschlauch 92250869 Grau NEU Wasserzulaufschlauch Original Trockner,
