SKU,Localised For,Title,Subtitle,Product Description,Additional Info,Group Picture URL,Picture URL 1,Picture URL 2,Picture URL 3,Picture URL 4,Picture URL 5,Picture URL 6,Picture URL 7,Picture URL 8,Picture URL 9,Picture URL 10,Picture URL 11,Picture URL 12,Picture URL 13,Picture URL 14,Picture URL 15,Picture URL 16,Picture URL 17,Picture URL 18,Picture URL 19,Picture URL 20,Picture URL 21,Picture URL 22,Picture URL 23,Picture URL 24,UPC,ISBN,EAN,MPN,Brand,ePID,Attribute Name 1,Attribute Value 1,Attribute Name 2,Attribute Value 2,Attribute Name 3,Attribute Value 3,Attribute Name 4,Attribute Value 4,Attribute Name 5,Attribute Value 5,Attribute Name 6,Attribute Value 6,Attribute Name 7,Attribute Value 7,Attribute Name 8,Attribute Value 8,Attribute Name 9,Attribute Value 9,Attribute Name 10,Attribute Value 10,Attribute Name 11,Attribute Value 11,Attribute Name 12,Attribute Value 12,Attribute Name 13,Attribute Value 13,Attribute Name 14,Attribute Value 14,Attribute Name 15,Attribute Value 15,Attribute Name 16,Attribute Value 16,Attribute Name 17,Attribute Value 17,Attribute Name 18,Attribute Value 18,Attribute Name 19,Attribute Value 19,Attribute Name 20,Attribute Value 20,Attribute Name 21,Attribute Value 21,Attribute Name 22,Attribute Value 22,Attribute Name 23,Attribute Value 23,Attribute Name 24,Attribute Value 24,Attribute Name 25,Attribute Value 25,Attribute Name 26,Attribute Value 26,Attribute Name 27,Attribute Value 27,Attribute Name 28,Attribute Value 28,Attribute Name 29,Attribute Value 29,Attribute Name 30,Attribute Value 30,Condition,Condition Description,Measurement System,Length,Width,Height,Weight Major,Weight Minor,Package Type,Total Ship To Home Quantity,Channel Id,Category,Shipping Policy,Payment Policy,Return Policy,List Price,Max Quantity Per Buyer,Strikethrough Price,Minimum Advertised Price,Minimum Advertised Price Handling,Store Category Name 1,Store Category Name 2,Sold Off eBay,Sold On eBay,Apply Tax,Tax Category,VAT Percent,Include eBay Product Details,Domestic Shipping P1 Cost,Domestic Shipping P1 Additional Cost,Domestic Shipping P1 Surcharge,Domestic Shipping P2 Cost,Domestic Shipping P2 Additional Cost,Domestic Shipping P2 Surcharge,Domestic Shipping P3 Cost,Domestic Shipping P3 Additional Cost,Domestic Shipping P3 Surcharge,Domestic Shipping P4 Cost,Domestic Shipping P4 Additional Cost,Domestic Shipping P4 Surcharge,International Shipping P1 Cost,International Shipping P1 Additional Cost,International Shipping P1 Surcharge,International Shipping P2 Cost,International Shipping P2 Additional Cost,International Shipping P2 Surcharge,International Shipping P3 Cost,International Shipping P3 Additional Cost,International Shipping P3 Surcharge,International Shipping P4 Cost,International Shipping P4 Additional Cost,International Shipping P4 Surcharge,International Shipping P5 Cost,International Shipping P5 Additional Cost,International Shipping P5 Surcharge,Template Name,Custom Fields,Eligible For eBay Plus,
"SKU-1000000010","de_DE","Calvin Klein String Tanga 3er Set Gr. L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Kompressionszone",,"Bundhöhe",,"Muster",,"Vintage",,"Textilpflege",,"Personalisieren",,"Herstellernummer",,"Modell",,"Anleitung für Personalisierung",,"Abteilung","Damen","Stil","Tanga/String","Marke","Calvin Klein","Größe","L","Material","Baumwolle","Farbe","Mehrfarbig","Gewebeart","Jersey","Thema",,"Produktart","Panty","Besonderheiten","Stretch","Anzahl pro Packung","3er Pack","Größenkategorie","Normalgröße","Akzente",,"Transparenz","Blickdicht","Ursprungsland","Jersey",,,,,,,,,,,,,,,,,,,,,,63854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-1000000008","de_DE","Calzedonia Damen Leggings Schwarz S/M Microfaser Skinny Fit 100 Denier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Besonderheiten",,"Thema",,"Gewebeart",,"Charakter Familie",,"Charakter",,"Aktivität",,"Taillenumfang",,"Schrittlänge",,"Vintage",,"Handgefertigt",,"Herstellernummer",,"Textilpflege",,"Größe","S/M","Produktart","Leggings","Abteilung","Damen","Marke","Calzedonia","Farbe","Schwarz","Jahreszeit","Alle Jahreszeiten","Material","Microfaser","Anlass","Freizeit, Alltag","Muster","Einfarbig","Stil","Casual, Elegant","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,152719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5978901641","de_DE","Calzedonia Damen Thermo Strumpfhose Creme Gr. 40-42, 60% Modal, Super Opaque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thema",,"Charakter",,"Anzahl pro Packung",,"Textilpflege",,"Personalisieren",,"Handgefertigt",,"Anleitung für Personalisierung",,"Produktart","Strumpfhose","Marke","Calzedonia","Abteilung","Damen","Farbe","Creme","Stil","Basic","Denier","60 DEN","Material","Modal","Größe","40-42","Besonderheiten","Thermo","Transparenz","Blickdicht","Muster","Einfarbig","Jahreszeit","Herbst,Frühling,Winter","Zehenart","Voll","Anlass","Alltag","Größenkategorie","Normalgröße","Ursprungsland",,"Herstellernummer","MIC048",,,,,,,,,,,,,,,,,,,,,,,,11525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-9150914979","de_DE","CanadianCat SATELLITE 2.0 Kratzbrett – Weiße Edition, umweltfreundlich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Einheiten",,"Produktart","Kratzmöbel","Farbe","Weiß","Höhe","15","Material","Wellpappe","Marke","CanadianCat","Besonderheiten","Umweltfreundlich","Herstellernummer","C11154","Ursprungsland","DE","Maßeinheit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-4090290612","de_DE","Canon Toner 716 Schwarz für i-SENSYS LBP5050, MF8030C, MF8040C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maßeinheit",,"Druckermarke","Canon","Marke","Canon","Version","Original","Drucktechnologie","Laserdrucker","Herstellernummer","1980B002","Druckermodell","Laserbase-Serie","Farbe","Schwarz","Seitenertrag","2300","Anzahl der Einheiten","1","Ursprungsland","Deutschland","Markenkompatibilität","Für Canon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-6099130668","de_DE","Canon Toner 718 Schwarz Original für gestochen scharfe Laserdrucke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Einheiten",,"Maßeinheit",,"Herstellergarantie",,"Ablaufdatum",,"Breite",,"Höhe",,"Länge",,"Marke","Canon","Produktart","Original","Farbe","Schwarz","Drucktechnologie","Laser","Modell","Canon 718","Markenkompatibilität","Für Canon","Ursprungsland",,"Herstellernummer","2662B002","Modellkompatibilität","Canon I-Sensys LBP-7210 Cdn,Canon I-Sensys MF 720 Series,LBP-7200CN,Für Canon i-SENSYS,Für Canon I-Sensys LBP-7200 Series,Canon imageCLASS MF 720 Series,Wincor-NixdorfWincor-Nixdorf FD 4911-C 15,LBP-7200CDN,Canon I-Sensys LBP-7680 cdn,für i-SENSYS LBP 7680,Für Canon i-SENSYS MF8360C,Für Canon i-SENSYS LBP7200CDN,Für Canon i-SENSYS LBP7210,i-SENSYS LBP7200Cdn,Für Canon I-Sensys LBP-8300 Series,i-SENSYS MF728Cdw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3132874789","de_DE","CAPAS Reise Kurzflossen Unisex – Kompakte Schwimm- und Schnorchelflossen, Schwar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Einheiten",,"Maßeinheit",,"Marke","CAPAS","Größe","26-32","Herstellernummer","BXXSXS","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3748510561","de_DE","Casaria Gartenliege 105967 60cm Erwachsene Akazienholz Anthrazit NEU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissenfarbe",,"Anzahl der Liegepositionen",,"Herstellungsjahr",,"Kissenmaterial",,"Herstellernummer",,"Gewicht",,"Montagezustand",,"Anzahl der Einheiten",,"Benötigte Werkzeug",,"Herstellergarantie",,"Kissenfüllmaterial",,"Stil",,"Rahmenmaterial","Akazie","Marke","Casaria","Produktart","Deckchair","Besonderheiten","Klappbar","Farbe","Anthrazit","Gewichtskapazität","160 kg","Modell","105967","Breite","60 cm","Ursprungsland",,"Maximale Höhe","94 cm","Höhe","94 cm","Minimale Höhe","40 cm","Maximale Sitzhöhe","40 cm","Minimale Sitzhöhe","40 cm","Minimale Länge","200 cm","Anzahl der Sitzplätze","Bis 2","Maximale Länge","200 cm","Länge","200 cm",,,,,,,,,,,,79684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-8036579486","de_DE","CECIPA Küchenarmatur Schwarz mit Ausziehbrause für flexible Küchenarbeit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zimmer",,"Anzahl der Armaturgriffe",,"Anzahl der Armaturlöcher",,"Besonderheiten",,"Produktlinie",,"Energieeffizienzklasse",,"Griffart",,"Abstand der Armaturanschlüsse",,"Form",,"Breite",,"Installationsart",,"Gütesiegel & Kennzeichnungen",,"Herstellergarantie",,"Höhe",,"Länge",,"Im Lieferumfang enthalten",,"Auslaufhöhe",,"Geeignet für",,"Gewicht",,"Modell",,"EEK Spektrum",,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Montage erforderlich",,"Produktart","Küchenarmatur","Marke","CECIPA","Farbe","Schwarz","Hersteller","CECIPA","Material","Messing",,,,,,,,,,,,29508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-6586579725","de_DE","CENTA-STAR Bettdecke Royal Classic für ganzjährigen, erholsamen Schlaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anleitung für Personalisierung",,"Anzahl der Einheiten",,"Fadenzahl",,"Füllstärke",,"GSM (Gramm pro Quadratmeter)",,"Maßeinheit",,"Modell",,"Personalisieren",,"Produktlinie",,"Produktart","Bettdecke","Set enthält","Daunendecke","Wärmestufe","Warm","Marke","Centa-Star","Material","High-Tech-Faser","Füllmaterial","Polyester","Größe","Standard","Breite","135 cm","Farbe","Weiß","Herstellernummer","0870.00","Länge","200 cm","Pflegeanleitung",,"TOG-Wert","4,5","Abteilung","Erwachsene","Anzahl der Teile","1","Besonderheiten","Atmungsaktiv,Hypoallergen","Gütesiegel & Kennzeichnungen","STANDARD 100 by OEKO-TEX","Ursprungsland",,"Zimmer","Schlafzimmer",,,,,,,,,,,,,,,,262978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-7543211550","de_DE","CMP Kinder Schneestiefel Rae Snow Boots WP, wasserdicht, black/blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Besonderheiten",,"Produktlinie",,"AU-Schuhgröße",,"UK-Schuhgröße",,"US-Schuhgröße",,"Anlass",,"Modell",,"Thema",,"Aktivität",,"Schuhweite",,"Stollentyp",,"Dämpfungsgrad",,"Schuhschaft-Typ",,"Gewebeart",,"Herstellungsjahr",,"Vintage",,"Muster",,"Personalisieren",,"Schuhspitze",,"Individualisiert",,"Anleitung für Personalisierung",,"Anzahl der Einheiten",,"Handgefertigt",,"Herstellernummer",,"Maßeinheit",,"Pronation",,"Signiert",,"Sprengung",,"Stollenform",,"EU-Schuhgröße","28",,,,,,,,,,,,57929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-4583716812","de_DE","Columbia OMNI-WICK Herren T-Shirt Schwarz M – Atmungsaktiv, Kühlend, Sport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Charakter Familie",,"Akzente",,"Produktlinie",,"Muster",,"Gewebeart",,"Jahreszeit",,"Vintage",,"Personalisieren",,"Handgefertigt",,"Größenkategorie",,"Anleitung für Personalisierung",,"Anzahl der Einheiten",,"Herstellungsjahr",,"Marke","Columbia","Produktart","T-Shirt","Abteilung","Herren","Größe","M","Farbe","Schwarz","Thema","Sport","Ausschnitt","Rundhals","Ärmellänge","Kurzarm","Material","Polyester","Ursprungsland",,"Besonderheiten",,"Passform","Regulär","Textilpflege",,"Modell","OMNI-WICK Short Sleeve T-Shirt","Herstellernummer","AM6084-010","Maßeinheit","m",,,,,,,,,,,,15687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5943400007","de_DE","Cretacolor Farbstifte 250er Set: Brillante Farben für grenzenlose Kreativität",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maßeinheit",,"Marke","Cretacolor","Farbe","Mehrfarbig","Produktart","Farbstifte","Herstellernummer","VK280990T","Anzahl der Einheiten","250","Ursprungsland","Österreich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2151943751","de_DE","Cretacolor Harte Graupastelle 12er Set für präzise Linien & feine Schattieru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herstellernummer",,"Anzahl der Einheiten",,"Marke","Cretacolor","Produktart","Harte Pastellkreiden","Farbe","Grau","Maßeinheit","Einheit","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3877364215","de_DE","DELSEY PARIS BELMONT PLUS Trolley Koffer 71cm Himbeere Unisex TSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ausführung",,"Marke","DELSEY PARIS","Produktart","Trolley Koffer","Rollen","Doppelrollen","Material","Polycarbonat","Farbe","Himbeere","Besonderheiten",,"Geschlecht","Unisex","Kapazität","97 Liter","Ursprungsland","Frankreich","Anzahl der Einheiten","1","Maßeinheit","Stück",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-9428729031","de_DE","Derby Rasierklingen Premium Professional für sanfte, gründliche Rasur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Modell",,"Klingentyp",,"Herstellernummer",,"Rasierklingen Breite",,"Rasierklingen Länge",,"Anzahl der Einheiten",,"Maßeinheit",,"Gewicht",,"Länge",,"Produktart","Rasierhobel","Marke","Derby","Anzahl der Klingen","2","Anzahl der Patronen","2","Farbe","Silber","Abteilung","Herren","Griffmaterial",,"Ursprungsland",,"Besonderheiten","Korrosionsbeständig","Körperbereich","Gesicht","Klingenmaterial","Rostfreier Stahl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2019125675","de_DE","Derma Pen Germany Microneedling Pen für professionelle Hautverjüngung",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Formulierung",,"Set enthält",,"Inhalt",,"Hauptverwendungszweck",,"Inhaltsstoffe",,"Wirksame Inhaltsstoffe",,"Größe",,"Hauttyp",,"Besonderheiten",,"Duft",,"Lichtschutzfaktor (LSF)",,"Produktlinie",,"Herstellernummer",,"UVA-Schutz",,"Verwendungsdauer",,"Maßeinheit",,"Anzahl der Einheiten",,"Mindesthaltbarkeitsdatum",,"Marke","Derma Pen Germany","Produktart","Microneedling Pen","Körperbereich",,"Abteilung","Unisex","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,33164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-8112287411","de_DE","Desigual Damen Sweatshirt AZRIEL: Stilvoll, bequem, 100% Baumwolle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gewebeart",,"Thema",,"Charakter",,"Akzente",,"Verschluss",,"Träger-/Riemenart",,"Größenkategorie",,"Vintage",,"Textilpflege",,"Handgefertigt",,"Personalisieren",,"Anleitung für Personalisierung",,"Anzahl der Einheiten",,"Herstellernummer",,"Maßeinheit",,"Produktart","Sweatshirt","Größe","XXL","Marke","Desigual","Abteilung","Damen","Farbe","Rosa","Material","100% Baumwolle","Stil","Casual","Ärmellänge","Langarm","Muster","Ohne Muster","Ausschnitt","Rundhalsausschnitt","Anlass","Freizeit","Besonderheiten",,"Jahreszeit","Frühling,Herbst,Winter","Passform","Regular","Ursprungsland",,,,,,,,,,,,,53159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-9912977908","de_DE","Dexcom G7 Receiver - Kontinuierliche Glukosemessung (CGM) 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Material",,"Anzahl der Einheiten",,"Maßeinheit",,"Herstellergarantie",,"Produktart","Blutzuckermessgerät","Marke","Dexcom","Farbe","Schwarz","Ursprungsland",,"Besonderheiten","Kontinuierliche Glukosemessung (CGM)","Herstellernummer","STK-GT-013","Modell","G7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2552797972","de_DE","Diesel Damen Leggings P-KOLL-E3 Zebra Print Slim Fit Schwarz/Weiß S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jahreszeit",,"Gewebeart",,"Aktivität",,"Größenkategorie",,"Charakter",,"Bundhöhe",,"Textilpflege",,"Produktlinie",,"Handgefertigt",,"Schrittlänge",,"Taillenumfang",,"Vintage",,"Personalisieren",,"Waschung",,"Anleitung für Personalisierung",,"Produktart","Leggings","Marke","Diesel","Abteilung","Damen","Thema","Sport","Größe","S","Farbe","Schwarz/Weiß","Material","95% Baumwolle, 5% Elasthan","Besonderheiten",,"Anlass","Freizeit,Sport","Akzente",,"Muster","Zebra Print","Stil","Pantaloni","Ursprungsland",,"Modell","P-KOLL-E3","Herstellernummer","A06456-0QDAR-8CQA-S--IT",,,,,,,,,,,,169001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-7245071607","de_DE","DIGITAL REVOLUTION Tintenpatrone LC422 Gelb für 550 brillante Seiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Modell",,"Drucktechnologie",,"Modellkompatibilität",,"Breite",,"Herstellernummer",,"Anzahl der Einheiten",,"Maßeinheit",,"Herstellergarantie",,"Ablaufdatum",,"Höhe",,"Länge",,"Marke","Digital Revolution","Farbe","Gelb","Markenkompatibilität",,"Produktart","Kompatibel","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-4008377248","de_DE","Divasya Yoga Yogamatte Profi-Grip für sichere & stabile Praxis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abteilung",,"Besonderheiten",,"Gewicht",,"Durchmesser",,"Personalisiert",,"Signiert",,"Vintage",,"Sportart/Aktivität","Yoga, Pilates, Fitness","Farbe","Pink","Ursprungsland","Deutschland","Marke","Divasya Yoga Yogamatte Profi-Grip für sichere & stabile Praxis","Herstellernummer","professional-grip YOGA MAT","Produktart","Yogamatte","Modell","professional-grip YOGA MAT","Breite","68","Material","Hochwertiges, rutschfestes Material","Anzahl der Einheiten","1","Maßeinheit","Stück","Anzahl der Teile","1","Höhe","0.45","Länge","185","Set enthält","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,44086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-2969022222","de_DE","DUNSOO Badteppich C04-061-04 Gr. 70x120cm Mikrofaser Grau NEU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Teile",,"Thema",,"Besonderheiten",,"Muster",,"Pflegeanleitung",,"Charakter",,"Charakter Familie",,"Anzahl der Einheiten",,"Gütesiegel & Kennzeichnungen",,"Höhe",,"Herstellernummer",,"Produktart","Badteppich","Set enthält","Badteppich","Farbe","Grau","Marke","DUNSOO","Zimmer","Badezimmer","Form","Rechteck","Material","Mikrofaser","Breite","70 cm","Länge","120 cm","Abteilung","Erwachsene","Ursprungsland",,"Maßeinheit","kg","Produktlinie","Alwyn Home Maisy Bath Rug",,,,,,,,,,,,,,,,,,,,,,,,133696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-8945251431","de_DE","Dyson Reinigungsset 971440-01 Schwarz NEU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kapazität",,"Material",,"Leistung",,"Besonderheiten",,"Tiefe",,"Modell",,"Herstellergarantie",,"Anzahl der Einheiten",,"Breite",,"Finish",,"Höhe",,"Marke","Dyson","Set enthält","Verlängerungsschlauch","Produktart","Werkzeug-Set","Anzahl pro Packung","1","Anzahl der Teile","3","Markenkompatibilität","Für Dyson","Geeignet für","Handstaubsauger","Modellkompatibilität","Für Dyson V7,Für Dyson V8,Für Dyson V11","Farbe","Schwarz","Ursprungsland",,"Stromquelle",,"Herstellernummer","971440-01","Gewicht","1 kg","Maßeinheit","kg",,,,,,,,,,,,,,,,,,,,,,42146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-3186173398","de_DE","Eastpak Terminal Reisetasche 96L – Wasserabweisend, Triple Denim Blau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Besonderheiten",,"Originalität",,"Ausführung",,"Kapazität",,"Anzahl der Einheiten",,"Marke","Eastpak","Material","Polyester","Geschlecht","Unisex","Farbe","Triple Denim Blau","Rollen","Ja","Vintage","Ja","Ursprungsland",,"Maßeinheit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5952589845","de_DE","Einhandfräse 3709 220 V Silber/Türkis/Schwarz Kunststoff/Metall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zubehör",,"Produktlinie",,"Anzahl der Einheiten",,"Maßeinheit",,"Breite",,"Geschwindigkeit",,"Höhe",,"Länge",,"Maximale Betriebstemperatur",,"Minimale Betriebstemperatur",,"Marke","Markenlos","Werkzeugart","Fräse","Spannung","220 V","Betriebsart","Netzbetrieben","Herstellernummer","3709","Leistung (W)","Bis 250 W","Gewicht (kg)","1","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-5526640633","de_DE","Element Hemden Gr. L Herren Beige NEU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charakter",,"Besonderheiten",,"Modell",,"Stil",,"Ausschnitt",,"Größenkategorie",,"Aktivität",,"Vintage",,"Herstellernummer",,"Anlass",,"Textilpflege",,"Akzente",,"Brustumfang",,"Charakter Familie",,"Gewebeart",,"Handgefertigt",,"Herstellungsjahr",,"Jahreszeit",,"Kompressionsstufe",,"Kompressionszone",,"Kragenart",,"Produktlinie",,"Shirt-Länge",,"Signiert",,"Verschluss",,"Waschung",,"Anzahl der Einheiten",,"Marke","Element","Produktart","Hemden","Größe","L",,,,,,,,,,,,179982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-8447826159","de_DE","Ellesse Herren Boxershorts 5er Pack – Komfortable Baumwoll-Elastan Trunks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Besonderheiten",,"Charakter",,"Gewebeart",,"Muster",,"Charakter Familie",,"Anzahl pro Packung",,"Vintage",,"Textilpflege",,"Personalisieren",,"Größenkategorie",,"Anleitung für Personalisierung",,"Anzahl der Einheiten",,"Modell",,"Abteilung","Herren","Stil","Boxershorts","Marke","ellesse","Material","95% Baumwolle, 5% Elastan","Größe","M","Produktart","Boxershorts","Farbe","Schwarz","Thema",,"Ursprungsland",,"Herstellernummer","SZA02765","Maßeinheit","m",,,,,,,,,,,,,,,,,,,,,,,,11507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-8529588380","de_DE","Elring Dichtungssatz Zylinderkopf für VW T5 Sharan Alhambra 542.210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bolzenloch Anzahl",,"Anzahl pro Packung",,"Im Lieferumfang enthalten",,"Oldtimer-Teil",,"Tuning- & Styling-Teil",,"Universelle Kompatibilität",,"Einbauposition",,"Herstellernummer",,"OE/OEM Referenznummer(n)",,"Durchmesser",,"Durchmesser (innen)",,"Herstellergarantie",,"Länge",,"Oberflächenbeschaffenheit",,"Stärke",,"Vergleichsnummer",,"Hersteller","Elring","Produktart","Dichtungssatz","Material","Hochwiderstandsfähige Verbundstoffe","Farbe","Schwarz","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-4780318569","de_DE","Elring Zylinderkopfdichtung Motor 1.57mm für VW Audi Ford Seat Skoda 150.162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anzahl der Einheiten",,"Maßeinheit",,"Original/Reproduktion",,"Material","Hochtemperatur-Verbundwerkstoff","Ursprungsland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SKU-7321712010","de_DE","Elring Zylinderkopfdichtungssatz 1.49mm für Audi, VW 038103383BL, 1212188109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bolzenloch Anzahl",,"Anzahl pro Packung",,"Material",,"Im Lieferumfang enthalten",,"Stärke",,"Oberflächenbeschaffenheit",,"Durchmesser (innen)",,"Länge",,"Durchmesser",,"Herstellergarantie",,"Oldtimer-Teil",,"Tuning- & Styling-Teil",,"Universelle Kompatibilität",,"OE/OEM Referenznummer(n)",,"Vergleichsnummer",,"Hersteller","Elring","Produktart","Zylinderkopfdichtung","Einbauposition","Motorraum","Farbe","Braun","Ursprungsland",,"Herstellernummer","1212188109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
